HPI Rank,Country,CountryCode,Sub-Region,Life Expectancy,Well-being(0-10),Happy Life Years,Footprint(gha/capita),Happy Planet Index,Population,GDP/capita,Governance Rank(1 = highest gov.),
106,Djibouti,DJI,4b,57.9,5,35.5,1.85,37.2,889000,2308,101,
33,Dominican Republic,DOM,1a,73.4,4.7,43.5,1.42,50.7,9927000,9350,88,
23,Ecuador,ECU,1b,75.6,5.8,51.3,2.37,52.5,14465000,8028,113,
91,Egypt,EGY,3a,73.2,3.9,38.5,2.06,39.6,81121000,6180,98,
5,El Salvador,SLV,1a,72.2,6.7,54,1.99,58.9,6193000,6668,61,
117,Estonia,EST,7b,74.8,5.1,46.7,4.73,34.9,1340000,20663,25,
94,Ethiopia,ETH,4b,59.3,4.4,33.5,1.13,39.2,82950000,1041,124,
70,Finland,FIN,2d,80,7.4,63.9,6.21,42.7,5364000,36473,1,
50,France,FRA,2c,81.5,6.8,61.3,4.91,46.5,64895000,34123,19,
55,Georgia,GEO,7a,73.7,4.1,40.1,1.43,46,4452000,5074,59,
46,Germany,DEU,2c,80.4,6.7,60,4.57,47.2,81777000,37402,15,
86,Ghana,GHA,4c,64.2,4.6,37.4,1.74,40.3,24392000,1644,55,
83,Greece,GRC,2e,79.9,5.8,54.2,4.92,40.5,11316000,28408,45,
10,Guatemala,GTM,1a,71.2,6.3,50.8,1.78,56.9,14389000,4785,102,
137,Guinea,GIN,4c,54.1,4,29.2,1.72,30,9982000,1091,139,
31,Guyana,GUY,1a,69.9,6,48.2,2.08,51.2,755000,3432,84,
78,Haiti,HTI,1a,62.1,3.8,32.2,0.6,41.3,9993000,1111,133,
13,Honduras,HND,1a,73.1,5.9,49.7,1.73,56,7600000,3923,103,
102,Hong Kong,HKG,6b,82.8,5.6,54.9,5.81,37.5,7068000,46502,14,
104,Hungary,HUN,7b,74.4,4.7,44.1,3.59,37.4,10000000,20545,33,
88,Iceland,ISL,2d,81.8,6.9,62.1,6.54,40.2,318000,35642,16,
32,India,IND,5a,65.4,5,40.1,0.87,50.9,1224615000,3425,78,
14,Indonesia,IDN,6c,69.4,5.5,45,1.13,55.5,239870000,4325,91,
77,Iran,IRN,3b,73,4.8,43.5,2.66,41.7,73973000,11570,136,
36,Iraq,IRQ,3b,69,5,42.4,1.42,49.2,32031000,3562,145,
73,Ireland,IRL,2c,80.6,7.3,63.5,6.22,42.4,4475000,40464,13,
15,Israel,ISR,3b,81.6,7.4,64.9,3.96,55.2,7624000,28573,41,
51,Italy,ITA,2e,81.9,6.4,58.8,4.52,46.4,60483000,31954,42,
6,Jamaica,JAM,1a,73.1,6.2,51.7,1.72,58.5,2702000,7673,58,
45,Japan,JPN,6b,83.4,6.1,58,4.17,47.5,127451000,33733,22,
27,Jordan,JOR,3b,73.4,5.7,49,2.13,51.7,6047000,5749,60,
119,Kazakhstan,KAZ,7a,67,5.5,43.8,4.14,34.7,16323000,12169,92,
98,Kenya,KEN,4b,57.1,4.3,31.7,0.95,38,40513000,1651,107,
63,Korea,KOR,6b,80.6,6.1,56.4,4.62,43.8,48875000,29101,36,
143,Kuwait,KWT,3b,74.6,6.6,54.9,9.72,27.1,2736000,46428,51,
38,Kyrgyzstan,KGZ,7a,67.7,5,41.5,1.29,49.1,5448000,2239,116,
37,Laos,LAO,6c,67.5,5,41.6,1.3,49.1,6201000,2551,125,
118,Latvia,LVA,7b,73.3,4.7,43.1,3.95,34.9,2239000,16340,37,
69,Lebanon,LBN,3b,72.6,5.2,45.6,2.85,42.9,4227000,14069,104,
116,Liberia,LBR,4c,56.8,4.2,31.3,1.28,35.2,3994000,419,112,
81,Libya,LBY,3a,74.8,4.9,45.4,3.19,40.8,6355000,16987,130,
120,Lithuania,LTU,7b,72.2,5.1,44.7,4.38,34.6,3287000,18370,35,
138,Luxembourg,LUX,2c,80,7.1,62,10.72,29,507000,86124,5,
140,Macedonia,MAC,7b,74.8,4.2,41.1,5.36,28.3,2060000,11162,62,
49,Madagascar,MDG,4a,66.7,4.6,39.1,1.16,46.8,20714000,969,110,
72,Malawi,MWI,4a,54.2,5.1,33.9,0.78,42.5,14901000,882,72,
84,Malaysia,MYS,6c,74.2,5.6,48.8,3.9,40.5,28401000,14731,46,
147,Mali,MLI,4c,51.4,3.8,26.6,1.86,26,15370000,1065,90,
66,Malta,MLT,2e,79.6,5.8,53.6,4.26,43.1,416000,26445,20,
128,Mauritania,MRT,4c,58.6,5,35.8,2.86,32.3,3460000,2456,122,
111,Mauritius,MUS,4a,73.4,5.5,47.7,4.55,36.6,1281000,13697,34,
22,Mexico,MEX,1a,77,6.8,58,3.3,52.9,113423000,14564,67,
40,Moldova,MDA,7b,69.3,5.6,45.7,2.1,48,3562000,3110,87,
145,Mongolia,MNG,7a,68.5,4.6,39.8,5.53,26.8,2756000,4036,70,
42,Morocco,MAR,3a,72.2,4.4,40.8,1.32,47.9,31951000,4712,79,
114,Mozambique,MOZ,4a,50.2,4.7,29.4,0.78,35.7,23390000,942,71,
61,Myanmar,MMR,5a,65.2,5.3,41.6,1.94,44.2,47963000,1950,149,
96,Namibia,NAM,4a,62.5,4.9,37.8,2.03,38.9,2283000,6475,47,
58,Nepal,NPL,5a,68.8,3.8,35.9,0.76,45.6,29959000,1199,121,
67,Netherlands,NLD,2c,80.7,7.5,65.1,6.34,43.1,16616000,42165,8,
28,New Zealand,NZL,2a,80.7,7.2,63.4,4.31,51.6,4368000,29535,4,
8,Nicaragua,NIC,1a,74,5.7,49.3,1.56,57.1,5789000,2913,108,
144,Niger,NER,4c,54.7,4.1,29.8,2.59,26.8,15512000,728,109,
125,Nigeria,NGA,4c,51.9,4.8,30.9,1.44,33.6,158423000,2399,135,
29,Norway,NOR,2d,81.1,7.6,66.3,4.77,51.4,4889000,57231,7,
16,Pakistan,PAK,5a,65.4,5.3,41.5,0.75,54.1,173593000,2688,132,
30,Palestine,PSE,3b,72.8,4.8,43.8,1.4,51.2,3780000,2613,n/a,
7,Panama,PAN,1a,76.1,7.3,60.3,2.97,57.8,2620000,13608,56,
57,Paraguay,PRY,1b,72.5,5.8,49.2,2.99,45.8,6454000,5181,105,
24,Peru,PER,1b,74,5.6,48.9,2.03,52.4,29076000,9538,68,
25,Philippines,PHL,6c,68.7,4.9,41.8,0.98,52.4,93261000,3969,97,
